1 3 
2.7388 0 2.4670
3.6384 1 24.5927
8.7844 0 10.6871
11.2892 0 2.6507
19.6054 1 16.8974
25.8811 0 8.0084
33.3780 1 3.4593
43.3384 0 9.1784
46.2163 0 19.0238
47.3548 0 17.2323
55.8328 0 2.4471
60.0882 0 1.4956
60.7434 1 11.2697
68.4218 0 12.0182
68.5855 0 8.1084
70.4307 0 6.0102
72.7153 0 1.3729
75.1113 0 14.3431
80.5883 1 19.4125
90.3511 0 18.1102
97.8430 0 7.1349
101.0268 0 7.6361
107.2454 0 6.2390
116.3251 0 1.7595
121.6605 0 21.4984
126.9861 1 12.7225
133.4377 0 10.0616
141.4507 0 9.6894
150.2640 0 21.5524
154.1471 0 24.9565
163.0784 0 23.9492
172.2447 0 12.3279
173.0574 0 22.8647
173.6316 0 19.0945
179.2535 0 5.5698
184.7606 0 23.8030
190.9555 0 6.2745
200.4260 0 5.0256
200.5650 0 22.2527
205.7671 0 17.6058
208.1635 0 21.0320
210.4348 0 18.0509
218.9224 0 15.3343
227.9540 0 9.3745
230.4761 0 11.9167
232.1588 1 20.9174
241.2872 0 24.4420
249.2442 0 14.5648
250.4246 1 4.0302
252.8030 0 20.0261
256.5938 0 15.5701
263.5607 0 8.3969
268.7178 0 5.0341
278.0610 0 3.0989
278.1877 0 2.9723
281.4533 0 7.1109
284.7317 0 22.8856
285.6248 0 7.1387
285.6866 0 18.9891
293.7013 0 24.1526
303.6481 0 24.1642
307.3246 0 10.0625
310.6378 0 20.1107
311.4815 0 14.6697
320.3446 1 18.6701
326.7943 1 15.9900
332.4731 0 24.3111
336.6110 0 0.4531
341.8605 0 6.2377
350.6130 0 8.5424
359.6167 0 21.0481
367.7884 0 19.3669
372.3824 0 16.6363
375.0018 1 12.9653
384.5417 0 2.4295
386.5845 1 5.0650
393.0889 0 6.6726
394.1722 0 4.9903
395.8895 0 16.6712
399.0871 1 1.1224
407.4454 0 24.7933
408.4703 0 10.7673
417.7299 0 10.7114
424.6991 0 22.3767
427.0056 0 10.1728
431.4238 1 7.1673
436.2789 1 22.6560
439.6380 0 3.2466
447.9529 0 20.6608
453.6868 0 14.3944
459.1031 0 23.4539
468.6316 0 8.6101
476.2365 0 7.6477
483.2087 0 0.7634
485.3300 0 9.0151
486.1855 0 14.9351
492.0770 1 16.8469
493.8769 0 4.1308
502.0673 0 9.7773
509.4797 0 21.6816
0 0 0

